category,word,source
afinn_negative,condemned,afinn_vader_manual
afinn_negative,condemns,afinn_vader_manual
afinn_negative,conflict,afinn_vader_manual
afinn_negative,conflicting,afinn_vader_manual
afinn_negative,conflictive,afinn_vader_manual
afinn_negative,conflicts,afinn_vader_manual
afinn_negative,confuse,afinn_vader_manual
afinn_negative,confused,afinn_vader_manual
afinn_negative,confusing,afinn_vader_manual
afinn_negative,constipation,afinn_vader_manual
afinn_negative,constrained,afinn_vader_manual
afinn_negative,contagion,afinn_vader_manual
afinn_negative,contagions,afinn_vader_manual
afinn_negative,contagious,afinn_vader_manual
afinn_negative,contaminant,afinn_vader_manual
afinn_negative,contaminants,afinn_vader_manual
afinn_negative,contaminate,afinn_vader_manual
afinn_negative,contaminated,afinn_vader_manual
afinn_negative,contaminates,afinn_vader_manual
afinn_negative,contaminating,afinn_vader_manual
afinn_negative,contamination,afinn_vader_manual
afinn_negative,contaminations,afinn_vader_manual
afinn_negative,contempt,afinn_vader_manual
afinn_negative,contemptible,afinn_vader_manual
afinn_negative,contemptuous,afinn_vader_manual
afinn_negative,contemptuously,afinn_vader_manual
afinn_negative,contend,afinn_vader_manual
afinn_negative,contender,afinn_vader_manual
afinn_negative,contending,afinn_vader_manual
afinn_negative,contentious,afinn_vader_manual
afinn_negative,contestable,afinn_vader_manual
afinn_negative,controversial,afinn_vader_manual
afinn_negative,controversially,afinn_vader_manual
afinn_negative,controversies,afinn_vader_manual
afinn_negative,controversy,afinn_vader_manual
afinn_negative,convicted,afinn_vader_manual
afinn_negative,cornered,afinn_vader_manual
afinn_negative,corpse,afinn_vader_manual
afinn_negative,costly,afinn_vader_manual
afinn_negative,coward,afinn_vader_manual
afinn_negative,cowardly,afinn_vader_manual
afinn_negative,cramp,afinn_vader_manual
afinn_negative,crash,afinn_vader_manual
afinn_negative,crazier,afinn_vader_manual
afinn_negative,craziest,afinn_vader_manual
afinn_negative,crazy,afinn_vader_manual
afinn_negative,crestfallen,afinn_vader_manual
afinn_negative,cried,afinn_vader_manual
afinn_negative,cries,afinn_vader_manual
afinn_negative,critic,afinn_vader_manual
afinn_negative,criticise,afinn_vader_manual
afinn_negative,criticised,afinn_vader_manual
afinn_negative,criticises,afinn_vader_manual
afinn_negative,criticising,afinn_vader_manual
afinn_negative,criticism,afinn_vader_manual
afinn_negative,criticize,afinn_vader_manual
afinn_negative,criticized,afinn_vader_manual
afinn_negative,criticizes,afinn_vader_manual
afinn_negative,criticizing,afinn_vader_manual
afinn_negative,critics,afinn_vader_manual
afinn_negative,critique,afinn_vader_manual
afinn_negative,crowding,afinn_vader_manual
afinn_negative,crude,afinn_vader_manual
afinn_negative,crush,afinn_vader_manual
afinn_negative,crushed,afinn_vader_manual
afinn_negative,crushes,afinn_vader_manual
afinn_negative,crushing,afinn_vader_manual
afinn_negative,cry,afinn_vader_manual
afinn_negative,crying,afinn_vader_manual
afinn_negative,curse,afinn_vader_manual
afinn_negative,cut,afinn_vader_manual
afinn_negative,cutback,afinn_vader_manual
afinn_negative,cutbacks,afinn_vader_manual
afinn_negative,cuts,afinn_vader_manual
afinn_negative,cutting,afinn_vader_manual
afinn_negative,cynic,afinn_vader_manual
afinn_negative,cynical,afinn_vader_manual
afinn_negative,cynicism,afinn_vader_manual
afinn_negative,damn,afinn_vader_manual
afinn_negative,danger,afinn_vader_manual
afinn_negative,dangerous,afinn_vader_manual
afinn_negative,dangerously,afinn_vader_manual
afinn_negative,darkest,afinn_vader_manual
afinn_negative,darkness,afinn_vader_manual
afinn_negative,deadening,afinn_vader_manual
afinn_negative,deadlock,afinn_vader_manual
afinn_negative,deafening,afinn_vader_manual
afinn_negative,death,afinn_vader_manual
afinn_negative,deaths,afinn_vader_manual
afinn_negative,debt,afinn_vader_manual
afinn_negative,defeat,afinn_vader_manual
afinn_negative,defeated,afinn_vader_manual
afinn_negative,defenseless,afinn_vader_manual
afinn_negative,defer,afinn_vader_manual
afinn_negative,deferring,afinn_vader_manual
afinn_negative,defiant,afinn_vader_manual
afinn_negative,deficiencies,afinn_vader_manual
afinn_negative,deficiency,afinn_vader_manual
